"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",1
"11",1
"12",1
"13",1
"14",1
"15",1
"16",1
"17",1
"18",1
"19",1
"20",1
"21",1
"22",1
"23",1
"24",1
"25",1
"26",1
"27",1
"28",1
"29",1
"30",1
"31",1
"32",1
"33",1
"34",1
"35",1
"36",1
"37",1
"38",1
"39",1
"40",1
"41",1
"42",1
"43",1
"44",1
"45",1
"46",1
"47",1
"48",1
"49",1
"50",1
"51",1
"52",1
"53",1
"54",1
"55",1
"56",1
"57",1
"58",1
"59",1
"60",1
"61",1
"62",1
"63",1
"64",1
"65",1
"66",1
"67",1
"68",1
"69",1
"70",1
"71",1
"72",1
"73",1
"74",1
"75",1
"76",1
"77",1
"78",1
"79",1
"80",1
"81",1
"82",1
"83",1
"84",1
"85",1
"86",1
"87",1
"88",1
"89",1
"90",1
"91",1
"92",1
"93",1
"94",1
"95",1
"96",1
"97",2
"98",2
"99",2
"100",2
"101",2
"102",2
"103",2
"104",2
"105",2
"106",2
"107",2
"108",2
"109",2
"110",2
"111",2
"112",2
"113",2
"114",2
"115",2
"116",2
"117",2
"118",2
"119",2
"120",2
"121",2
"122",2
"123",2
"124",2
"125",2
"126",2
"127",2
"128",2
"129",2
"130",2
"131",2
"132",2
"133",2
"134",2
"135",2
"136",2
"137",2
"138",2
"139",2
"140",2
"141",2
"142",2
"143",2
"144",2
"145",2
"146",2
"147",2
"148",2
"149",2
"150",2
"151",2
"152",2
"153",2
"154",2
"155",2
"156",2
"157",2
"158",2
"159",2
"160",2
"161",2
"162",2
"163",2
"164",2
"165",2
"166",2
"167",2
"168",2
"169",2
"170",2
"171",2
"172",2
"173",2
"174",2
"175",2
"176",2
"177",2
"178",2
"179",2
"180",2
"181",2
"182",2
"183",2
"184",2
"185",2
"186",2
"187",2
"188",2
"189",2
"190",2
"191",2
"192",2
"193",4
"194",4
"195",4
"196",4
"197",4
"198",4
"199",4
"200",4
"201",4
"202",4
"203",4
"204",4
"205",4
"206",4
"207",4
"208",4
"209",4
"210",4
"211",4
"212",4
"213",4
"214",4
"215",4
"216",4
"217",4
"218",4
"219",4
"220",4
"221",4
"222",4
"223",4
"224",4
"225",4
"226",4
"227",4
"228",4
"229",4
"230",4
"231",4
"232",4
"233",4
"234",4
"235",4
"236",4
"237",4
"238",4
"239",4
"240",4
"241",4
"242",4
"243",4
"244",4
"245",4
"246",4
"247",4
"248",4
"249",4
"250",4
"251",4
"252",4
"253",4
"254",4
"255",4
"256",4
"257",4
"258",4
"259",4
"260",4
"261",4
"262",4
"263",4
"264",4
"265",4
"266",4
"267",4
"268",4
"269",4
"270",4
"271",4
"272",4
"273",4
"274",4
"275",4
"276",4
"277",4
"278",4
"279",4
"280",4
"281",4
"282",4
"283",4
"284",4
"285",4
"286",4
"287",4
"288",6
"289",6
"290",6
"291",6
"292",6
"293",6
"294",6
"295",6
"296",6
"297",6
"298",6
"299",6
"300",6
"301",6
"302",6
"303",6
"304",6
"305",6
"306",6
"307",6
"308",6
"309",6
"310",6
"311",6
"312",6
"313",6
"314",6
"315",6
"316",6
"317",6
"318",6
"319",6
"320",6
"321",6
"322",6
"323",6
"324",6
"325",6
"326",6
"327",6
"328",6
"329",6
"330",6
"331",6
"332",6
"333",6
"334",6
"335",6
"336",6
"337",6
"338",6
"339",6
"340",6
"341",6
"342",6
"343",6
"344",6
"345",6
"346",6
"347",6
"348",6
"349",6
"350",6
"351",6
"352",6
"353",6
"354",6
"355",6
"356",6
"357",6
"358",6
"359",6
"360",6
"361",6
"362",6
"363",6
"364",6
"365",6
"366",6
"367",6
"368",6
"369",6
"370",6
"371",6
"372",6
"373",6
"374",6
"375",6
"376",6
"377",6
"378",6
"379",6
"380",6
"381",6
"382",6
"383",6
"384",4
"385",4
"386",4
"387",4
"388",4
"389",4
"390",4
"391",4
"392",4
"393",4
"394",4
"395",4
"396",4
"397",4
"398",4
"399",4
"400",4
"401",4
"402",4
"403",4
"404",4
"405",4
"406",4
"407",4
"408",4
"409",4
"410",4
"411",4
"412",4
"413",4
"414",4
"415",4
"416",4
"417",4
"418",4
"419",4
"420",4
"421",4
"422",4
"423",4
"424",4
"425",4
"426",4
"427",4
"428",4
"429",4
"430",4
"431",4
"432",4
"433",4
"434",4
"435",4
"436",4
"437",4
"438",4
"439",4
"440",4
"441",4
"442",4
"443",4
"444",4
"445",4
"446",4
"447",4
"448",4
"449",4
"450",4
"451",4
"452",4
"453",4
"454",4
"455",4
"456",4
"457",4
"458",4
"459",4
"460",4
"461",4
"462",4
"463",4
"464",4
"465",4
"466",4
"467",4
"468",4
"469",4
"470",4
"471",4
"472",4
"473",4
"474",4
"475",4
"476",4
"477",4
"478",4
"479",4
